Bokmål,Nynorsk,Engelsk,Merknad
jacobimatrise,jacobimatrise,Jacobian matrix,"Jacobimatrise kalles ofte bare <i>Jacobian</i> på engelsk."
klasseskille,klasseskilje,class boundary,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
kolineær/kollineær,kolineær/kollineær,colinear/collinear,"Begge skrivemåtene brukes på norsk, men kolineær anbefales."
komplementvinkel,komplementvinkel,complementary angle,"Komplementvinkler kan også omtales som komplementære vinkler (bokmål) og komplementære vinklar (nynorsk)."
konfidens,konfidens,confidence,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
konjugere,konjugere,conjugate,"Ordklasse: verb"
konjugert,konjugert,conjugate,"Ordklasse: adjektiv"
kropp,kropp,field,"Merk at oversettelsen av <i>field</i> er avhengig av kontekst. En kropp er en kommutativ ring der ethvert ikke-nullelement har en multiplikativ invers. For eksempel utgjør de reelle tall en kropp."
metrikk,metrikk,metric,"Ordklasse: substantiv"
metrisk,metrisk,metric,"Ordklasse: adjektiv"
midtpunkt,midtpunkt,midrange,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
modalverdi/typetall,modalverdi/typetal,mode,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger. Typetall (bokmål) og typetal (nynorsk) anbefales."
moment,moment,moment,"Legg merke til at denne oversettelsen gjelder innen statistikk. I fysikk kan <i>moment</i> referere til det som på norsk kalles bevegelsesmengde (bokmål) og rørslemengd (nynorsk)."
nullrom,nullrom,null space,"I mange tilfeller kan termene nullrom og kjerne brukes synonymt. Hva som er vanlig ordvalg, avhenger av kontekst."
observator,observator,statistic,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
ODE,ODE,ODE,"ODE er en forkortelse for ordinær differensiallikning og stammer fra <i>ordinary differential equation</i>."
ordinær differensiallikning,ordinær differensiallikning,ordinary differential equation,"Ordinær differensiallikning forkortes ofte til ODE."
partall,partal,even number,"Partall kan også omtales som like tall (bokmål) og like tal (nynorsk)."
partiell differensiallikning,partiell differensiallikning,partial differential equation,"Partiell differensiallikning forkortes ofte til PDE."
PDE,PDE,PDE,"PDE er en forkortelse for partiell differensiallikning og stammer fra <i>partial differential equation</i>."
PID,PID,PID,"PID er en forkortelse for hovedidealområde (bokmål) og hovudidealområde (nynorsk) og stammer fra <i>principal ideal domain</i>."
pivotelement,pivotelement,pivot element,"Forstavelsen pivot uttales [pivå:’]."
pivotkolonne/pivotsøyle,pivotkolonne/pivotsøyle,pivot column/pivotal column,"Forstavelsen pivot uttales [pivå:’]."
pivotrad,pivotrad,pivot row/pivotal row,"Forstavelsen pivot uttales [pivå:’]."
pomengde,pomengd,poset,"Pomengde er en forkortelse for delvis ordnet mengde (bokmål) og delvis ordna mengd (nynorsk) og stammer fra <i>partially ordered set</i>."
prosentil,prosentil,percentile,"Både persentil og percentil forekommer også i bruk på norsk, men prosentil anbefales."
prosentilskjema,prosentilskjema,percentile graph,"Både persentilskjema og percentilskjema forekommer også i bruk på norsk, men prosentilskjema anbefales."
på,på,onto,"Synonym: surjektiv"
rotasjon,rotasjon,curl,"Curl brukes også på norsk, men rotasjon anbefales."
sadelpunkt/salpunkt,salpunkt,saddle point,"Begge skrivemåtene brukes på bokmål, men salpunkt anbefales."
sammenslått,samanslege,pooled,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
spenn,spenn,span,"Ordklasse: substantiv"
største felles divisor,største felles divisor,greatest common divisor,"Synonym: største felles faktor"
største felles faktor,største felles faktor,greatest common factor,"Synonym: største felles divisor"
supplementvinkel,supplementvinkel,supplementary angle,"Suplementvinkler kan også omtales som supplementære vinkler (bokmål) og supplementære vinklar (nynorsk)."
surjektiv,surjektiv,surjective,"Synonym: på"
syzygi,syzygi,syzygy,"Uttale: [sytsygi:´]"
topp,topp,peak,"Oversettelsen gjelder bruk innen blant annet statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
type I-feil/forkastningsfeil,type I-feil/forkastingsfeil,error of first kind/false positive,"Begge oversettelsene brukes på norsk, men forkastningsfeil (bokmål) og forkastingsfeil (nynorsk) anbefales."
type II-feil/godtakingsfeil,type II-feil/godtakingsfeil,error of second kind/false negative,"Begge oversettelsene brukes på norsk, men godtakingsfeil anbefales."
UFD,UFD,UFD,"UFD er en forkortelse for entydig faktoriseringsområde (bokmål) og eintydig faktoriseringsområde (nynorsk) og stammer fra <i>unique factorization domain</i>."
underbasis,underbasis,subbase,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
underbasis,underbasis,subbasis,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
utspenne,utspenne,span,"Ordklasse: verb"
variansanalyse,variansanalyse,analysis of variance/variance analysis,"Variansanalyse forkortes ofte til ANOVA."
variasjonsbredde,variasjonsbreidd,range,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
wronskideterminant,wronskideterminant,Wronski determinant,"Wronskideterminant kalles ofte bare <i>Wronskian</i> på engelsk."
